row,column,issue
628,age,missing_value
304,age,missing_value
823,age,missing_value
453,age,missing_value
705,age,missing_value
962,age,missing_value
903,age,missing_value
219,age,missing_value
151,age,missing_value
974,age,missing_value
388,age,missing_value
352,age,missing_value
200,age,missing_value
534,age,missing_value
683,age,missing_value
114,age,missing_value
723,age,missing_value
914,age,missing_value
596,age,missing_value
802,age,missing_value
533,age,missing_value
799,age,missing_value
840,age,missing_value
129,age,missing_value
617,age,missing_value
582,age,missing_value
164,age,missing_value
183,age,missing_value
842,age,missing_value
221,age,missing_value
189,age,missing_value
935,age,missing_value
466,age,missing_value
471,age,missing_value
925,age,missing_value
825,age,missing_value
63,age,missing_value
689,age,missing_value
484,age,missing_value
489,age,missing_value
954,age,missing_value
526,age,missing_value
763,age,missing_value
299,age,missing_value
871,age,missing_value
839,age,missing_value
899,age,missing_value
399,age,missing_value
562,age,missing_value
102,age,missing_value
752,age,missing_value
726,age,missing_value
795,age,missing_value
949,age,missing_value
431,age,missing_value
929,age,missing_value
59,age,missing_value
626,age,missing_value
157,age,missing_value
357,age,missing_value
334,age,missing_value
415,age,missing_value
478,age,missing_value
344,age,missing_value
315,age,missing_value
373,age,missing_value
529,age,missing_value
703,age,missing_value
654,age,missing_value
636,age,missing_value
116,age,missing_value
267,age,missing_value
608,age,missing_value
141,age,missing_value
777,age,missing_value
638,age,missing_value
71,age,missing_value
23,age,missing_value
481,age,missing_value
717,age,missing_value
231,age,missing_value
434,age,missing_value
970,age,missing_value
709,age,missing_value
10,age,missing_value
750,age,missing_value
365,age,missing_value
249,age,missing_value
807,age,missing_value
507,age,missing_value
438,age,missing_value
369,age,missing_value
179,age,missing_value
171,age,missing_value
766,age,missing_value
476,age,missing_value
530,age,missing_value
237,age,missing_value
195,age,missing_value
845,age,missing_value
32,salary,missing_value
402,salary,missing_value
456,salary,missing_value
874,salary,missing_value
623,salary,missing_value
508,salary,missing_value
828,salary,missing_value
78,salary,missing_value
919,salary,missing_value
863,salary,missing_value
218,salary,missing_value
875,salary,missing_value
33,salary,missing_value
903,salary,missing_value
152,salary,missing_value
865,salary,missing_value
840,salary,missing_value
964,salary,missing_value
45,salary,missing_value
346,salary,missing_value
